Report ready:
"Campaign Report 1783524894 (2026-06-08 - 2026-07-08)"
CampaignName	CampaignId	Impressions	Clicks	Ctr	AvgCpc	Cost	Conversions	CostPerConversion	ConversionRate
Ретаргетинг | Товары	706983545	111	0	0.00	--	0.00	0	--	--
Ретаргетинг | Каталог	706995323	4	0	0.00	--	0.00	0	--	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	710747853	4194	491	11.71	91.72	45033.34	425	105.96	86.56
[На заказ] Межкомнатные перегородки | ТГ | НБ=20т.р. | mCPC |	710919957	18674	447	2.39	130.42	58296.64	392	148.72	87.70
Total rows: 4
