"Campaign Report yesterday 20260708a (2026-07-07 - 2026-07-07)"
CampaignName	CampaignId	Impressions	Clicks	Ctr	AvgCpc	Cost	Conversions	CostPerConversion
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	710747853	43	8	18.60	210.13	1681.00	8	210.13
[На заказ] Межкомнатные перегородки | ТГ | НБ=20т.р. | mCPC |	710919957	1429	31	2.17	150.34	4660.61	29	160.71
Total rows: 2
