"Campaign NoVAT 20260708a (2026-06-08 - 2026-07-08)"
CampaignName	CampaignId	Clicks	Cost
Ретаргетинг | Товары	706983545	0	0.00
Ретаргетинг | Каталог	706995323	0	0.00
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	710747853	491	36912.57
[На заказ] Межкомнатные перегородки | ТГ | НБ=20т.р. | mCPC |	710919957	447	47784.13
Total rows: 4
