group_id;family;group;imp;clicks;ctr;cpc;spend;spend_share;at_share;visits;leads;contacts;cr;cpl;last_lead
5774336370;Зеркальные перегородки;Зеркальные перегородки | Зонирования;45;9;20.0;68;609;0.6;92;7;0;0;0.0;;
5774336367;Зеркальные перегородки;Зеркальные перегородки;59;6;10.2;100;598;0.6;0;5;0;0;0.0;;
5774336360;Дизайнерские перегородки;Дизайнерские перегородки | Зонирования;78;8;10.3;73;586;0.6;98;8;0;0;0.0;;
5774336418;Складные перегородки;Складные перегородки | Зонирования;76;12;15.8;48;579;0.6;47;14;0;0;0.0;;
5774336401;Каскадные перегородки;Каскадные перегородки | Заказ;27;5;18.5;109;545;0.6;100;6;0;0;0.0;;
5774336421;Складные перегородки;Складные перегородки | Цена;59;8;13.6;66;531;0.6;100;6;0;0;0.0;;
5774336426;Стальные перегородки;Стальные перегородки | Стали;77;5;6.5;105;527;0.5;32;5;0;0;0.0;;
5774336428;Стальные перегородки;Стальные перегородки | Металлические Межкомнатные;43;6;14.0;87;519;0.5;94;5;0;0;0.0;;
5774336384;Матовые перегородки;Матовые перегородки | Производителя;38;3;7.9;166;497;0.5;100;8;0;0;0.0;;
5774336375;Зеркальные перегородки;Зеркальные перегородки | Москве;15;3;20.0;161;483;0.5;100;3;1;1;33.3;483;2026-08-20
5774336449;Перегородки для гостиной;Перегородки для гостиной | Зонирования;45;5;11.1;96;481;0.5;28;5;0;0;0.0;;
5774336355;Арочные перегородки;Арочные перегородки | Дверью;25;5;20.0;88;439;0.5;100;5;0;0;0.0;;
5774336372;Зеркальные перегородки;Зеркальные перегородки | Межкомнатные;48;6;12.5;73;437;0.5;100;6;0;0;0.0;;
5774336407;Каскадные перегородки;Каскадные перегородки | Зонирования;16;3;18.8;144;432;0.4;72;2;0;0;0.0;;
5774336356;Арочные перегородки;Арочные перегородки | Москве;39;5;12.8;75;377;0.4;100;5;0;0;0.0;;
5774336391;Телескопические перегородки;Телескопические перегородки | Купить;28;6;21.4;58;348;0.4;100;7;0;0;0.0;;
5774336429;Стальные перегородки;Стальные перегородки | Заказ;13;2;15.4;163;326;0.3;100;2;0;0;0.0;;
5774336438;Цветные декоративные перегородки;Цветные декоративные перегородки;37;2;5.4;160;320;0.3;38;1;0;0;0.0;;
5774336358;Дизайнерские перегородки;Дизайнерские перегородки | Заказ;1;1;100.0;310;310;0.3;100;1;0;0;0.0;;
5774336415;Распашные перегородки;Распашные перегородки | Маятниковая Стеклянная Купить;18;3;16.7;87;261;0.3;100;2;0;0;0.0;;
5774336402;Каскадные перегородки;Каскадные перегородки | Москва;7;2;28.6;117;234;0.2;100;2;0;0;0.0;;
5774336403;Каскадные перегородки;Каскадные перегородки | Купить;21;3;14.3;43;129;0.1;100;3;0;0;0.0;;
5774336373;Зеркальные перегородки;Зеркальные перегородки | Комнату;12;2;16.7;60;119;0.1;100;1;0;0;0.0;;
5774336379;Матовые перегородки;Матовые перегородки | Купить;39;2;5.1;54;107;0.1;100;0;0;0;0.0;;
5774336396;Телескопические перегородки;Телескопические перегородки | Изготовление Телескопических Перегородок;14;1;7.1;107;107;0.1;100;1;0;0;0.0;;
5774336427;Стальные перегородки;Стальные перегородки | Черного Металла;27;1;3.7;85;85;0.1;100;2;0;0;0.0;;
5774336388;Телескопические перегородки;Телескопические перегородки | Производителя;17;2;11.8;32;64;0.1;100;2;0;0;0.0;;
5774336347;Арочные перегородки;Арочные перегородки;38;2;5.3;31;62;0.1;36;2;0;0;0.0;;
5774336376;Зеркальные перегородки;Зеркальные перегородки | Изготовление Зеркальных Перегородок;29;1;3.4;48;48;0.1;100;1;0;0;0.0;;
5774336434;Стационарные перегородки;Стационарные перегородки | Неподвижные;26;1;3.8;26;26;0.0;0;1;0;0;0.0;;
5774336446;Перегородки для гостиной;Перегородки для гостиной | Заказ;5;1;20.0;10;10;0.0;100;0;0;0;0.0;;
5774336435;Стационарные перегородки;Стационарные перегородки | Фиксированные;4;0;0.0;;0;0.0;;0;0;0;;;
5774336451;Перегородки для студии;Перегородки для студии | Заказ;2;0;0.0;;0;0.0;;0;0;0;;;
5774336366;Дизайнерские перегородки;Дизайнерские перегородки | Дизайн Проекту;15;0;0.0;;0;0.0;;0;0;0;;;
5774336445;Перегородки для гостиной;Перегородки для гостиной;18;0;0.0;;0;0.0;;0;0;0;;;
5774336433;Стационарные перегородки;Стационарные перегородки | Заказ;7;0;0.0;;0;0.0;;0;0;0;;;
5774336350;Арочные перегородки;Арочные перегородки | Купить;9;0;0.0;;0;0.0;;0;0;0;;;
5774336452;Перегородки для студии;Перегородки для студии | Стеклянные;17;0;0.0;;0;0.0;;0;0;0;;;
5774336383;Матовые перегородки;Матовые перегородки | Москве;8;0;0.0;;0;0.0;;0;0;0;;;
5774336387;Телескопические перегородки;Телескопические перегородки | Стеклянные;12;0;0.0;;0;0.0;;0;0;0;;;
5774336410;Распашные перегородки;Распашные перегородки | Маятниковые;14;0;0.0;;0;0.0;;0;0;0;;;
5774336394;Телескопические перегородки;Телескопические перегородки | Телескопическая Зонирования;7;0;0.0;;0;0.0;;0;0;0;;;
5774336364;Дизайнерские перегородки;Дизайнерские перегородки | Цена;1;0;0.0;;0;0.0;;0;0;0;;;
5774336354;Арочные перегородки;Арочные перегородки | Цена;3;0;0.0;;0;0.0;;0;0;0;;;
5774336400;Каскадные перегородки;Каскадные перегородки | Производителя;7;0;0.0;;0;0.0;;0;0;0;;;
5774336406;Каскадные перегородки;Каскадные перегородки | Каскад;8;0;0.0;;0;0.0;;0;0;0;;;
5774336414;Распашные перегородки;Распашные перегородки | Стеклянная Дверью;8;0;0.0;;0;0.0;;0;0;0;;;
5774336351;Арочные перегородки;Арочные перегородки | Стеклянные;1;0;0.0;;0;0.0;;0;0;0;;;
5774336361;Дизайнерские перегородки;Дизайнерские перегородки | Премиум Класса;1;0;0.0;;0;0.0;;0;0;0;;;
5774336381;Матовые перегородки;Матовые перегородки | Цена;3;0;0.0;;0;0.0;;0;0;0;;;
5774336411;Распашные перегородки;Распашные перегородки | Заказ;15;0;0.0;;0;0.0;;0;0;0;;;
5774336386;Телескопические перегородки;Телескопические перегородки | Цена;1;0;0.0;;0;0.0;;0;0;0;;;
5774336368;Зеркальные перегородки;Зеркальные перегородки | Купить;1;0;0.0;;0;0.0;;0;0;0;;;
5774336393;Телескопические перегородки;Телескопические перегородки | Телескопическая Ключ;1;0;0.0;;0;0.0;;0;0;0;;;
5774336389;Телескопические перегородки;Телескопические перегородки | Заказ;9;0;0.0;;0;0.0;;0;0;0;;;
5774336365;Дизайнерские перегородки;Дизайнерские перегородки | Москве;2;0;0.0;;0;0.0;;0;0;0;;;
5774336390;Телескопические перегородки;Телескопические перегородки | Москва;4;0;0.0;;0;0.0;;0;0;0;;;
5774336362;Дизайнерские перегородки;Дизайнерские перегородки | Эксклюзивные Заказ;2;0;0.0;;0;0.0;;0;0;0;;;
5774336437;Стационарные перегородки;Стационарные перегородки | Цена;1;0;0.0;;0;0.0;;0;0;0;;;
;(без группы);(без группы);0;0;;;0;0.0;;93;1;2;;0;2026-09-08
;ИТОГО;2026-07-19..2026-09-25;6077;812;13.4;119;96259;100;72;840;26;19;3.2;3702;
