id;name;phrase;intent;cat;imp;clicks;spend;visits;leads;expected;p_chance;enough;tv;imp_pos;click_pos;utm_visits;utm_premium;utm_pos_avg;utm_pos1;utm_mobile
5774336409;Распашные перегородки | Стеклянные;[распашные] [стеклянные] [перегородки];6 Уточнение исполнения;B клики без лидов;39;5;802;3;0;0.16;0.85;мало данных;82;1.9;1.8;3;100;1.3;67;33
5774336447;Перегородки для гостиной | Стеклянные;[стеклянные] [перегородки] [для] [гостиной];5 Помещение;B клики без лидов;51;5;766;4;0;0.16;0.85;мало данных;70;2.3;2;4;100;2.3;25;50
5774336436;Стационарные перегородки | Зонирования;[стационарная] [перегородка] [зонирования];4 Зонирование;B клики без лидов;25;5;760;6;0;0.16;0.85;мало данных;75;2.4;3.8;9;67;2.7;0;56
5774336448;Перегородки для гостиной | Раздвижные;[раздвижные] [перегородки] [для] [гостиной];5 Помещение;B клики без лидов;45;6;748;4;0;0.19;0.83;мало данных;74;2;2.3;4;50;1.5;75;50
5774336405;Каскадные перегородки;[каскадные] [перегородки];7 Базовый тип;B клики без лидов;83;8;728;7;0;0.26;0.77;мало данных;89;3;2.4;7;100;2;43;100
5774336412;Распашные перегородки | Маятниковой Дверью;[перегородка] [маятниковой] [дверью];6 Уточнение исполнения;B клики без лидов;39;3;709;3;0;0.1;0.91;мало данных;82;1.8;1.7;3;100;1.7;33;67
5774336398;Каскадные перегородки | Цена;[каскадные] [перегородки] [цена];2 Цена;B клики без лидов;13;4;706;3;0;0.13;0.88;мало данных;83;2.8;2.3;3;100;1.3;67;67
5774336371;Зеркальные перегородки | Цена;[зеркальные] [перегородки] [цена];2 Цена;B клики без лидов;34;5;684;5;0;0.16;0.85;мало данных;78;2.9;2;5;100;2;60;60
5774336395;Телескопические перегородки | Телескоп;[перегородка] [телескоп];7 Базовый тип;B клики без лидов;68;8;663;9;0;0.26;0.77;мало данных;88;2.3;2.3;11;45;2.3;45;36
5774336385;Телескопические перегородки | Раздвижные;[телескопические] [раздвижные] [перегородки];6 Уточнение исполнения;B клики без лидов;29;7;661;6;0;0.22;0.8;мало данных;86;1.9;2.1;6;100;2.3;50;67
5774336349;Арочные перегородки | Стекла;[арочные] [перегородки] [стекла];6 Уточнение исполнения;B клики без лидов;19;3;654;1;0;0.1;0.91;мало данных;87;1.5;1.7;1;0;1;100;100
5774336439;Цветные декоративные перегородки | Тонированные;[тонированные] [перегородки];7 Базовый тип;B клики без лидов;25;3;627;3;0;0.1;0.91;мало данных;89;2;2;9;33;1.2;78;11
5774336380;Матовые перегородки | Заказ;[матовые] [перегородки] [заказ];1 Заказ / покупка;B клики без лидов;59;6;617;6;0;0.19;0.83;мало данных;81;1.7;1.3;11;73;1.5;45;64
