offer,model,cost_prod,section
GGT-03-1-2-M-60,TRUBIS M Wood 60,11909,(ГГС) Мебель
GGT-03-1-2-M-80,TRUBIS M Wood 80,12651,(ГГС) Мебель
GGT-03-1-2-O-18090,TRUBIS O Oval Wood 180,17189,(ГГС) Мебель
GGT-03-1-2-O-20090,TRUBIS O Oval Wood 200,17660,(ГГС) Мебель
GGT-03-1-2-R-120-160-80,TRUBIS R Max 120/160 х 80,19111,(ГГС) Мебель
GGT-03-1-2-S-40,TRUBIS S Wood 40 золотой / чёрный,8557,(ГГС) Мебель
GGT-03-1-2-S-60,TRUBIS S Wood 60 золотой / чёрный,9222,(ГГС) Мебель
GGT-03-1-3-E-12080,TRUBIS E Oval Wood 120,13482,(ГГС) Мебель
GGT-03-1-3-E-14080,TRUBIS E Oval Wood 140,13664,(ГГС) Мебель
GGT-03-1-3-E-16080,TRUBIS E Oval Wood 160,14537,(ГГС) Мебель
GGT-03-1-3-L-100,TRUBIS L 400 Wood 100,11465,(ГГС) Мебель
GGT-03-1-3-L-110,TRUBIS L 400 Wood 110,11912,(ГГС) Мебель
GGT-03-1-3-L-120,TRUBIS L 400 Wood 120,12464,(ГГС) Мебель
GGT-03-1-3-L-80,TRUBIS L 400 Wood 80,10587,(ГГС) Мебель
GGT-03-1-3-L-90,TRUBIS L 400 Wood 90,11225,(ГГС) Мебель
GGT-03-1-3-L-90-12090,TRUBIS L Max D90/120 х 90,16167,(ГГС) Мебель
GGT-03-1-3-M-100,TRUBIS M Wood 100,13577,(ГГС) Мебель
GGT-03-1-3-M-60,TRUBIS M Wood 60,11909,(ГГС) Мебель
GGT-03-1-3-M-80,TRUBIS M Wood 80,12651,(ГГС) Мебель
GGT-03-1-3-O-18090,TRUBIS O Oval Wood 180,17189,(ГГС) Мебель
GGT-03-1-3-O-20090,TRUBIS O Oval Wood 200,17660,(ГГС) Мебель
GGT-03-1-3-R-120-160-80,TRUBIS R Max 120/160 х 80,19111,(ГГС) Мебель
GGT-03-1-3-S-40,TRUBIS S Wood 40 золотой / белый,8557,(ГГС) Мебель
GGT-03-1-3-S-60,TRUBIS S Wood 60 золотой / белый,9222,(ГГС) Мебель
GGT-03-1-4-E-12080,TRUBIS E Oval Wood 120,13304,(ГГС) Мебель
GGT-03-1-4-E-14080,TRUBIS E Oval Wood 140,13664,(ГГС) Мебель
GGT-03-1-4-E-16080,TRUBIS E Oval Wood 160,14537,(ГГС) Мебель
GGT-03-1-4-L-90,TRUBIS L 400 Wood 90,11119,(ГГС) Мебель
GGT-03-1-4-O-18090,TRUBIS O Oval Wood 180,17047,(ГГС) Мебель
GGT-03-1-4-O-20090,TRUBIS O Oval Wood 200,17660,(ГГС) Мебель
GGT-03-1-4-S-40,TRUBIS S Wood 40 золотой / чёрный мр,8557,(ГГС) Мебель
GGT-03-1-5-E-12080,TRUBIS E Oval Wood 120,13482,(ГГС) Мебель
GGT-03-1-5-E-14080,TRUBIS E Oval Wood 140,13664,(ГГС) Мебель
GGT-03-1-5-E-14080-K,TRUBIS Oval 140 Керамический,26077,(ГГС) Мебель
GGT-03-1-5-E-16080,TRUBIS E Oval Wood 160,14537,(ГГС) Мебель
GGT-03-1-5-L-100,TRUBIS L 400 Wood 100,11465,(ГГС) Мебель
GGT-03-1-5-L-100-K,TRUBIS L керамический D100,22598,(ГГС) Мебель
GGT-03-1-5-L-110,TRUBIS L 400 Wood 110,11912,(ГГС) Мебель
GGT-03-1-5-L-120,TRUBIS L 400 Wood 120,12464,(ГГС) Мебель
GGT-03-1-5-L-80,TRUBIS L 400 Wood 80,10587,(ГГС) Мебель
GGT-03-1-5-L-90,TRUBIS L 400 Wood 90,11225,(ГГС) Мебель
GGT-03-1-5-M-100,TRUBIS M Wood 100,13577,(ГГС) Мебель
GGT-03-1-5-M-60,TRUBIS M Wood 60,11780,(ГГС) Мебель
GGT-03-1-5-M-80,TRUBIS M Wood 80,12651,(ГГС) Мебель
GGT-03-1-5-O-18090,TRUBIS O Oval Wood 180,17189,(ГГС) Мебель
GGT-03-1-5-O-18090-K,TRUBIS Oval 180 Керамический,37395,(ГГС) Мебель
GGT-03-1-5-O-20090,TRUBIS O Oval Wood 200,17660,(ГГС) Мебель
GGT-03-1-5-O-20090-K,TRUBIS Oval 200 Керамический,38522,(ГГС) Мебель
GGT-03-1-5-S-40,TRUBIS S Wood 40 золотой / белый мр,8557,(ГГС) Мебель
GGT-03-1-5-S-60,TRUBIS S Wood 60 золотой / чёрный мр,9222,(ГГС) Мебель
GGT-03-1-6-L-90-12090,TRUBIS L Max D90/120 х 90,15949,(ГГС) Мебель
GGT-03-1-6-R-120-160-80,TRUBIS R Max 120/160 х 80,19111,(ГГС) Мебель
GGT-03-2-1-E-12080,TRUBIS E Oval Wood 120,13304,(ГГС) Мебель
GGT-03-2-1-E-14080,TRUBIS E Oval Wood 140,13664,(ГГС) Мебель
GGT-03-2-1-E-16080,TRUBIS E Oval Wood 160,14537,(ГГС) Мебель
GGT-03-2-1-L-100,TRUBIS L 400 Wood 100,11324,(ГГС) Мебель
GGT-03-2-1-L-120,TRUBIS L 400 Wood 120,12346,(ГГС) Мебель
GGT-03-2-1-L-80,TRUBIS L 400 Wood 80,10486,(ГГС) Мебель
GGT-03-2-1-L-90,TRUBIS L 400 Wood 90,11119,(ГГС) Мебель
GGT-03-2-1-M-100,TRUBIS M Wood 100,13426,(ГГС) Мебель
GGT-03-2-1-M-60,TRUBIS M Wood 60,11780,(ГГС) Мебель
GGT-03-2-1-M-80,TRUBIS M Wood 80,12509,(ГГС) Мебель
GGT-03-2-1-O-18090,TRUBIS O Oval Wood 180,17189,(ГГС) Мебель
GGT-03-2-1-O-20090,TRUBIS O Oval Wood 200,17660,(ГГС) Мебель
GGT-03-2-1-S-40,TRUBIS S Wood 40 чёрный / орех,8557,(ГГС) Мебель
GGT-03-2-2-E-12080,TRUBIS E Oval Wood 120,13482,(ГГС) Мебель
GGT-03-2-2-E-14080,TRUBIS E Oval Wood 140,13664,(ГГС) Мебель
GGT-03-2-2-E-16080,TRUBIS E Oval Wood 160,14537,(ГГС) Мебель
GGT-03-2-2-L-100,TRUBIS L 400 Wood 100,11465,(ГГС) Мебель
GGT-03-2-2-L-110,TRUBIS L 400 Wood 110,11912,(ГГС) Мебель
GGT-03-2-2-L-120,TRUBIS L 400 Wood 120,12464,(ГГС) Мебель
GGT-03-2-2-L-80,TRUBIS L 400 Wood 80,10587,(ГГС) Мебель
GGT-03-2-2-L-90,TRUBIS L 400 Wood 90,11225,(ГГС) Мебель
GGT-03-2-2-L-90-12090,TRUBIS L Max D90/120 х 90,16167,(ГГС) Мебель
GGT-03-2-2-M-100,TRUBIS M Wood 100,13577,(ГГС) Мебель
GGT-03-2-2-M-60,TRUBIS M Wood 60,11909,(ГГС) Мебель
GGT-03-2-2-M-80,TRUBIS M Wood 80,12651,(ГГС) Мебель
GGT-03-2-2-O-18090,TRUBIS O Oval Wood 180,17189,(ГГС) Мебель
GGT-03-2-2-O-20090,TRUBIS O Oval Wood 200,17660,(ГГС) Мебель
GGT-03-2-2-R-120-160-80,TRUBIS R Max 120/160 х 80,19111,(ГГС) Мебель
GGT-03-2-2-S-40,TRUBIS S Wood 40 чёрный / чёрный,8557,(ГГС) Мебель
GGT-03-2-2-S-60,TRUBIS S Wood 60 чёрный / чёрный,9222,(ГГС) Мебель
GGT-03-2-3-E-12080,TRUBIS E Oval Wood 120,13482,(ГГС) Мебель
GGT-03-2-3-E-14080,TRUBIS E Oval Wood 140,13664,(ГГС) Мебель
GGT-03-2-3-E-16080,TRUBIS E Oval Wood 160,14537,(ГГС) Мебель
GGT-03-2-3-L-100,TRUBIS L 400 Wood 100,11465,(ГГС) Мебель
GGT-03-2-3-L-110,TRUBIS L 400 Wood 110,11912,(ГГС) Мебель
GGT-03-2-3-L-120,TRUBIS L 400 Wood 120,12464,(ГГС) Мебель
GGT-03-2-3-L-80,TRUBIS L 400 Wood 80,10587,(ГГС) Мебель
GGT-03-2-3-L-90,TRUBIS L 400 Wood 90,11225,(ГГС) Мебель
GGT-03-2-3-L-90-12090,TRUBIS L Max D90/120 х 90,16167,(ГГС) Мебель
GGT-03-2-3-M-100,TRUBIS M Wood 100,13577,(ГГС) Мебель
GGT-03-2-3-M-60,TRUBIS M Wood 60,11909,(ГГС) Мебель
GGT-03-2-3-M-80,TRUBIS M Wood 80,12651,(ГГС) Мебель
GGT-03-2-3-O-18090,TRUBIS O Oval Wood 180,17189,(ГГС) Мебель
GGT-03-2-3-O-20090,TRUBIS O Oval Wood 200,17660,(ГГС) Мебель
GGT-03-2-3-R-120-160-80,TRUBIS R Max 120/160 х 80,19111,(ГГС) Мебель
GGT-03-2-3-S-40,TRUBIS S Wood 40 чёрный / белый,8557,(ГГС) Мебель
GGT-03-2-3-S-60,TRUBIS S Wood 60 чёрный / белый,9222,(ГГС) Мебель
GGT-03-2-4-E-12080,TRUBIS E Oval Wood 120,13304,(ГГС) Мебель
GGT-03-2-4-E-14080,TRUBIS E Oval Wood 140,13664,(ГГС) Мебель
GGT-03-2-4-E-16080,TRUBIS E Oval Wood 160,14537,(ГГС) Мебель
GGT-03-2-4-L-90,TRUBIS L 400 Wood 90,11119,(ГГС) Мебель
GGT-03-2-4-O-18090,TRUBIS O Oval Wood 180,17047,(ГГС) Мебель
GGT-03-2-4-O-20090,TRUBIS O Oval Wood 200,17660,(ГГС) Мебель
GGT-03-2-4-S-40,TRUBIS S Wood 40 чёрный / чёрный мр,8557,(ГГС) Мебель
GGT-03-2-5-E-12080,TRUBIS E Oval Wood 120,13482,(ГГС) Мебель
GGT-03-2-5-E-14080,TRUBIS E Oval Wood 140,13664,(ГГС) Мебель
GGT-03-2-5-E-14080-K,TRUBIS Oval 140 Керамический,26077,(ГГС) Мебель
GGT-03-2-5-E-16080,TRUBIS E Oval Wood 160,14537,(ГГС) Мебель
GGT-03-2-5-L-100,TRUBIS L 400 Wood 100,11465,(ГГС) Мебель
GGT-03-2-5-L-100-K,TRUBIS L керамический D100,22598,(ГГС) Мебель
GGT-03-2-5-L-110,TRUBIS L 400 Wood 110,11912,(ГГС) Мебель
GGT-03-2-5-L-120,TRUBIS L 400 Wood 120,12464,(ГГС) Мебель
GGT-03-2-5-L-80,TRUBIS L 400 Wood 80,10587,(ГГС) Мебель
GGT-03-2-5-L-90,TRUBIS L 400 Wood 90,11225,(ГГС) Мебель
GGT-03-2-5-M-100,TRUBIS M Wood 100,13577,(ГГС) Мебель
GGT-03-2-5-M-60,TRUBIS M Wood 60,11780,(ГГС) Мебель
GGT-03-2-5-M-80,TRUBIS M Wood 80,12651,(ГГС) Мебель
GGT-03-2-5-O-18090,TRUBIS O Oval Wood 180,17189,(ГГС) Мебель
GGT-03-2-5-O-18090-K,TRUBIS Oval 180 Керамический,37395,(ГГС) Мебель
GGT-03-2-5-O-20090,TRUBIS O Oval Wood 200,17660,(ГГС) Мебель
GGT-03-2-5-O-20090-K,TRUBIS Oval 200 Керамический,38522,(ГГС) Мебель
GGT-03-2-5-S-40,TRUBIS S Wood 40 чёрный / белый мр,8557,(ГГС) Мебель
GGT-03-2-5-S-60,TRUBIS S Wood 60 чёрный / белый мр,9222,(ГГС) Мебель
GGT-03-2-6-L-90-12090,TRUBIS L Max D90/120 х 90,15949,(ГГС) Мебель
GGT-03-2-6-R-120-160-80,TRUBIS R Max 120/160 х 80,19111,(ГГС) Мебель
GGT-03-3-1-E-12080,TRUBIS E Oval Wood 120,13304,(ГГС) Мебель
GGT-03-3-1-E-14080,TRUBIS E Oval Wood 140,13664,(ГГС) Мебель
GGT-03-3-1-E-16080,TRUBIS E Oval Wood 160,14537,(ГГС) Мебель
GGT-03-3-1-L-100,TRUBIS L 400 Wood 100,11324,(ГГС) Мебель
GGT-03-3-1-L-120,TRUBIS L 400 Wood 120,12346,(ГГС) Мебель
GGT-03-3-1-L-80,TRUBIS L 400 Wood 80,10486,(ГГС) Мебель
GGT-03-3-1-L-90,TRUBIS L 400 Wood 90,11119,(ГГС) Мебель
GGT-03-3-1-M-100,TRUBIS M Wood 100,13426,(ГГС) Мебель
GGT-03-3-1-M-60,TRUBIS M Wood 60,11780,(ГГС) Мебель
GGT-03-3-1-M-80,TRUBIS M Wood 80,12509,(ГГС) Мебель
GGT-03-3-1-O-18090,TRUBIS O Oval Wood 180,17189,(ГГС) Мебель
GGT-03-3-1-O-20090,TRUBIS O Oval Wood 200,17660,(ГГС) Мебель
GGT-03-3-1-S-40,TRUBIS S Wood 40 белый / орех,8557,(ГГС) Мебель
GGT-03-3-2-E-12080,TRUBIS E Oval Wood 120,13482,(ГГС) Мебель
GGT-03-3-2-E-14080,TRUBIS E Oval Wood 140,13664,(ГГС) Мебель
GGT-03-3-2-E-16080,TRUBIS E Oval Wood 160,14537,(ГГС) Мебель
GGT-03-3-2-L-100,TRUBIS L 400 Wood 100,11465,(ГГС) Мебель
GGT-03-3-2-L-110,TRUBIS L 400 Wood 110,11912,(ГГС) Мебель
GGT-03-3-2-L-120,TRUBIS L 400 Wood 120,12464,(ГГС) Мебель
GGT-03-3-2-L-80,TRUBIS L 400 Wood 80,10587,(ГГС) Мебель
GGT-03-3-2-L-90,TRUBIS L 400 Wood 90,11225,(ГГС) Мебель
GGT-03-3-2-L-90-12090,TRUBIS L Max D90/120 х 90,16167,(ГГС) Мебель
GGT-03-3-2-M-100,TRUBIS M Wood 100,13577,(ГГС) Мебель
GGT-03-3-2-M-60,TRUBIS M Wood 60,11909,(ГГС) Мебель
GGT-03-3-2-M-80,TRUBIS M Wood 80,12651,(ГГС) Мебель
GGT-03-3-2-O-18090,TRUBIS O Oval Wood 180,17189,(ГГС) Мебель
GGT-03-3-2-O-20090,TRUBIS O Oval Wood 200,17660,(ГГС) Мебель
GGT-03-3-2-R-120-160-80,TRUBIS R Max 120/160 х 80,19111,(ГГС) Мебель
GGT-03-3-2-S-40,TRUBIS S Wood 40 белый / чёрный,8557,(ГГС) Мебель
GGT-03-3-2-S-60,TRUBIS S Wood 60 белый / чёрный,9222,(ГГС) Мебель
GGT-03-3-3-E-12080,TRUBIS E Oval Wood 120,13482,(ГГС) Мебель
GGT-03-3-3-E-14080,TRUBIS E Oval Wood 140,13664,(ГГС) Мебель
GGT-03-3-3-E-16080,TRUBIS E Oval Wood 160,14537,(ГГС) Мебель
GGT-03-3-3-L-100,TRUBIS L 400 Wood 100,11465,(ГГС) Мебель
GGT-03-3-3-L-110,TRUBIS L 400 Wood 110,11912,(ГГС) Мебель
GGT-03-3-3-L-120,TRUBIS L 400 Wood 120,12464,(ГГС) Мебель
GGT-03-3-3-L-80,TRUBIS L 400 Wood 80,10587,(ГГС) Мебель
GGT-03-3-3-L-90,TRUBIS L 400 Wood 90,11225,(ГГС) Мебель
GGT-03-3-3-L-90-12090,TRUBIS L Max D90/120 х 90,16167,(ГГС) Мебель
GGT-03-3-3-M-100,TRUBIS M Wood 100,13577,(ГГС) Мебель
GGT-03-3-3-M-60,TRUBIS M Wood 60,11909,(ГГС) Мебель
GGT-03-3-3-M-80,TRUBIS M Wood 80,12651,(ГГС) Мебель
GGT-03-3-3-O-18090,TRUBIS O Oval Wood 180,17189,(ГГС) Мебель
GGT-03-3-3-O-20090,TRUBIS O Oval Wood 200,17660,(ГГС) Мебель
GGT-03-3-3-R-120-160-80,TRUBIS R Max 120/160 х 80,19111,(ГГС) Мебель
GGT-03-3-3-S-40,TRUBIS S Wood 40 белый / белый,8557,(ГГС) Мебель
GGT-03-3-3-S-60,TRUBIS S Wood 60 белый / белый,9222,(ГГС) Мебель
GGT-03-3-4-E-12080,TRUBIS E Oval Wood 120,13304,(ГГС) Мебель
GGT-03-3-4-E-14080,TRUBIS E Oval Wood 140,13664,(ГГС) Мебель
