Модель,С\С общая,"Комиссия МП, %","Логистика МП, %","Реклама МП, %","Итого,
% OZON"
ZILOSI,"5 047,74",49%,17%,11%,77%
RILONI,"6 428,48",49%,10%,11%,70%
HORSIX Pouf,"6 463,21",49%,2%,11%,62%
TRUBIS S Wood 40,"11 374,50",49%,3%,11%,63%
TRUBIS S Wood 60,"12 134,34",49%,3%,11%,63%
TRUBIS M Wood 60 ,"15 498,38",49%,3%,11%,63%
TRUBIS M Wood 80 ,"16 612,90",49%,3%,11%,63%
TRUBIS M Wood 100 ,"17 787,58",49%,3%,11%,63%
TRUBIS M Wood 120 ,"18 719,26",49%,3%,11%,63%
TRUBIS L 400 Wood 80,"14 957,87",43%,3%,11%,57%
TRUBIS L 400 Wood 90,"15 825,83",43%,3%,11%,57%
TRUBIS L 400 Wood 100,"16 294,79",43%,3%,11%,57%
TRUBIS L 400 Wood 110,"16 857,27",43%,3%,11%,57%
TRUBIS L 400 Wood 120,"17 523,75",43%,3%,11%,57%
TRUBIS E Oval Wood 120,"17 894,75",43%,3%,11%,57%
TRUBIS E Oval Wood 140,"18 300,71",43%,3%,11%,57%
TRUBIS E Oval Wood 160,"19 397,67",43%,3%,11%,57%
TRUBIS O Oval Wood 180,"23 038,92",43%,3%,11%,57%
TRUBIS O Oval Wood 200,"23 754,52",43%,3%,11%,57%
TRUBIS L Max D90/120 х 90 ,"22 905,32",43%,3%,11%,57%
TRUBIS R Max 120/160 х 80 ,"26 381,73",43%,3%,11%,57%
TRUBIS R Max 140/170 х 90 ,"27 806,97",43%,3%,11%,57%
TRUBIS Oval 140 Керамический,"35 372,65",43%,3%,11%,57%
TRUBIS Oval 160 Керамический,"37 087,25",43%,3%,11%,57%
TRUBIS Oval 180 Керамический,"50 630,06",43%,3%,11%,57%
TRUBIS Oval 200 Керамический,"52 493,26",43%,3%,11%,57%
TRUBIS L керамический D100 ,"34 227,29",43%,3%,11%,57%
TRUBIS Console 80,"12 252,00",43%,3%,11%,57%
TRUBIS Console 100,"12 952,00",43%,3%,11%,57%
TRUBIS Console 120,"13 674,00",43%,3%,11%,57%
VIOLUR овал 140,"15 490,12",43%,3%,11%,57%
VIOLUR овал 160,"16 579,72",43%,3%,11%,57%
VIOLUR овал 180,"17 741,32",43%,3%,11%,57%
VIOLUR овал 200,"18 440,92",43%,3%,11%,57%
VIOLUR Console 70,"11 484,94",43%,3%,11%,57%
VIOLUR Console 120,"12 115,82",43%,3%,11%,57%
VIOLUR Max 110/140 х 70,"21 490,06",43%,3%,11%,57%
VIOLUR Max 120/190 х 80,"24 117,26",43%,3%,11%,57%
ARFEO прям 80 ,"9 968,74",43%,3%,11%,57%
ARFEO прям 100 ,"10 437,06",43%,3%,11%,57%
ARFEO прям 120 ,"10 945,38",43%,3%,11%,57%
ARFEO DUO стол 180 ,"21 353,82",43%,3%,11%,57%
ARFEO DUO стол 200 ,"21 761,50",43%,3%,11%,57%
BAAKIS б\цв 160,"18 643,78",43%,3%,11%,57%
BAAKIS б\цв 180,"19 676,26",43%,3%,11%,57%
BAAKIS б\цв 200,"20 534,58",43%,3%,11%,57%
KONUX D100/180 х 100,"28 761,78",43%,3%,11%,57%
SELENTI D120 Керамогранит,"43 707,34",43%,3%,11%,57%
SUNVIO D120 Керамогранит,"42 130,46",43%,3%,11%,57%
GRESIO D120 Керамогранит,"35 447,06",43%,3%,11%,57%
TUBARIS D900 Керамогранит,"30 928,54",43%,3%,11%,57%
TUBARIS D900 ГлассЛак черный,"23 789,26",43%,3%,11%,57%
TUBARIS D900 Гласслак белый,"25 387,14",43%,3%,11%,57%
TUBARIS D1000 Керамогранит,"34 968,18",43%,3%,11%,57%
TUBARIS D1000 ГлассЛак черный,"25 688,58",43%,3%,11%,57%
TUBARIS D1000 Гласслак белый,"27 404,02",43%,3%,11%,57%
TUBARIS D1200 Керамогранит,"38 363,38",43%,3%,11%,57%
TUBARIS D1200 ГлассЛак черный,"30 752,10",43%,3%,11%,57%
TUBARIS D1200 Гласслак белый,"33 847,30",43%,3%,11%,57%
TUBARIS Oval 2000 Керамогранит,"74 636,66",43%,3%,11%,57%
TUBARIS Oval 2200 Керамогранит,"76 472,86",43%,3%,11%,57%
TUBARIS Oval 2500 Керамогранит,"79 634,06",43%,3%,11%,57%
GENTRIS D80 (Трублин),"14 088,66",43%,3%,11%,57%
ТЕСТОВЫЕ РАСЧЁТЫ,,,,,
GENTRIS D90 (Трублин),"14 934,54",43%,3%,11%,57%
GENTRIS D80 МДФ (Трублин),"13 850,66",43%,3%,11%,57%
GENTRIS D90 МДФ (Трублин),"14 589,54",43%,3%,11%,57%
PROFIX D100 (TRUBIS L из профиля 10*20),"18 984,50",43%,3%,11%,57%
PROFIX D100 (из 10*20) Керамогранит,"34 793,06",43%,3%,11%,57%
PROFIX Oval 120,"20 404,06",43%,3%,11%,57%
PROFIX Oval 140,"20 871,94",43%,3%,11%,57%
PROFIX Oval 160,"22 030,82",43%,3%,11%,57%
PROFIX Oval 160 Керамический,"39 113,58",43%,3%,11%,57%
TRUBIS стеллаж с ЛДСП 25мм белый,"33 486,16",43%,3%,11%,57%
TRUBIS стеллаж с ЛДСП 25мм черный,"31 815,28",43%,3%,11%,57%
TRUBIS квадрат 90*90 ЛДСП,"19 717,30",43%,3%,11%,57%
TRUBIS квадрат 90*90 керамогранит,"31 725,66",43%,3%,11%,57%
TRUBIS L Max D90/120 х 90 Керамогранит,"46 381,26",43%,3%,11%,57%
GENTRIS L D100/130 х 100,"29 803,94",43%,3%,11%,57%
GENTRIS L D100/130 х 100 Керамогранит,"48 861,46",43%,3%,11%,57%
TUBARIS 2000*900 Керамогранит белый,"92 565,30",43%,3%,11%,57%
TUBARIS 2000*900 Керамогранит черный,"99 152,02",43%,3%,11%,57%
TUBARIS 2200*900 Керамогранит белый,"94 401,50",43%,3%,11%,57%
TUBARIS 2200*900 Керамогранит черный,"100 286,46",43%,3%,11%,57%
TUBARIS 2500*1000 Керамогранит белый,"97 562,70",43%,3%,11%,57%
TUBARIS 2500*1000 Керамогранит черный,"104 149,42",43%,3%,11%,57%
SELENTI D120 Керамогранит травертин,"65 392,62",43%,3%,11%,57%
SUNVIO D120 Керамогранит травертин,"63 640,30",43%,3%,11%,57%
GRESIO D120 Керамогранит травертин,"56 606,02",43%,3%,11%,57%
TULIPSO 180 Керамогранит,"51 249,06",43%,3%,11%,57%
VETVUM керамогранит (2000*900),"50 989,30",43%,3%,11%,57%
VELVES (2000*900),"26 540,46",43%,3%,11%,57%
OLIMIOS 1800*900,"54 973,06",43%,3%,11%,57%
Тумба 02 (стекл.полки),"28 077,26",43%,3%,11%,57%
Тумба 02 (лдсп полки),"26 200,06",43%,3%,11%,57%
"Стул 05 (4 ноги, спинка D32)","18 918,46",43%,3%,11%,57%
Тумба 03 (лдсп),"31 954,46",43%,3%,11%,57%
Тумба 01 (лдсп),"17 971,98",43%,3%,11%,57%
Стол жур.на стеклянных опорах,"13 717,58",43%,3%,11%,57%
КОМПЛЕКТЫ,,,,,
TRUBIS S 400 + TRUBIS M 600,"25 654,89",49%,3%,11%,63%
TRUBIS S 600 + TRUBIS M 600,"26 390,76",49%,3%,11%,63%
TRUBIS S 400 + TRUBIS M 800,"26 697,48",49%,3%,11%,63%
TRUBIS M 800 + RILONI,"22 687,76",49%,3%,11%,63%
TRUBIS M 600 + EVELUM,"21 464,74",49%,7%,11%,67%
TRUBIS M 600 + OZEVIS,"31 912,79",49%,7%,11%,67%
ARFEO 80 + ARKIS М,"20 054,74",49%,7%,11%,67%
ARFEO 80 + NOLVIS NF LED M (с),"15 894,68",49%,7%,11%,67%
HALFEO NF LED L(с) 3в1 + ZILOSI,"15 193,45",49%,7%,11%,67%
ARKIS NF LED L (c) + EVESA,"15 084,51",49%,7%,11%,67%
,,,,,
Перегородки,С\С общая,"Комиссия МП, %","Логистика МП, %","Реклама МП, %","Итого,
% OZON"
В ПРОДАЖЕ (стандарт),,,,,
2000*700 (прозрачное б/цв),"16 638,99",47%,5%,11%,63%
2000*800 (прозрачное б/цв),"17 413,15",47%,5%,11%,63%
2000*900 (прозрачное б/цв),"18 397,31",47%,5%,11%,63%
2000*1000 (прозрачное б/цв),"19 029,39",47%,5%,11%,63%
2200*700 (прозрачное б/цв),"17 725,23",47%,5%,11%,63%
2200*800 (прозрачное б/цв),"18 709,39",47%,5%,11%,63%
2200*900 (прозрачное б/цв),"19 683,55",47%,5%,11%,63%
2200*1000 (прозрачное б/цв),"20 567,71",47%,5%,11%,63%
2400*700 (прозрачное б/цв),"19 637,71",47%,5%,11%,63%
2400*800 (прозрачное б/цв),"20 977,27",47%,5%,11%,63%
2400*900 (прозрачное б/цв),"22 006,43",47%,5%,11%,63%
2400*1000 (прозрачное б/цв),"23 090,59",47%,5%,11%,63%
2000*700 (рифлёная плёнка),"19 081,01",47%,5%,11%,63%
2000*800 (рифлёная плёнка),"21 748,45",47%,5%,11%,63%
2000*900 (рифлёная плёнка),"22 602,37",47%,5%,11%,63%
2000*1000 (рифлёная плёнка),"23 400,21",47%,5%,11%,63%
2200*700 (рифлёная плёнка),"20 610,61",47%,5%,11%,63%
2200*800 (рифлёная  плёнка),"23 072,37",47%,5%,11%,63%
2200*900 (рифлёная плёнка),"24 070,21",47%,5%,11%,63%
2200*1000 (рифлёная плёнка),"25 131,97",47%,5%,11%,63%
2400*700 (рифлёная плёнка),"22 540,21",47%,5%,11%,63%
2400*800 (рифлёная плёнка),"25 362,65",47%,5%,11%,63%
2400*900 (рифлёная плёнка),"26 415,49",47%,5%,11%,63%
2400*1000 (рифлёная плёнка),"27 523,33",47%,5%,11%,63%
В ПРОДАЖЕ (премиум),,,,,
2000*700 (рифлёное б/цв),"26 207,62",47%,5%,11%,63%
2000*800 (рифлёное б/цв),"28 310,46",47%,5%,11%,63%
2000*900 (рифлёное б/цв),"30 462,34",47%,5%,11%,63%
2000*1000 (рифлёное б/цв),"32 664,18",47%,5%,11%,63%
2200*700 (рифлёное б/цв),"27 655,54",47%,5%,11%,63%
2200*800 (рифлёное б/цв),"30 709,34",47%,5%,11%,63%
2200*900 (рифлёное б/цв),"32 360,22",47%,5%,11%,63%
2200*1000 (рифлёное б/цв),"34 412,10",47%,5%,11%,63%
2400*700 (рифлёное б/цв),"30 558,26",47%,5%,11%,63%
2400*800 (рифлёное б/цв),"32 412,06",47%,5%,11%,63%
2400*900 (рифлёное б/цв),"34 913,90",47%,5%,11%,63%
2400*1000 (рифлёное б/цв),"38 067,70",47%,5%,11%,63%
2000*700 (матовое б/цв),"21 634,03",47%,5%,11%,63%
2000*800 (матовое б/цв),"23 159,27",47%,5%,11%,63%
2000*900 (матовое б/цв),"24 642,43",47%,5%,11%,63%
2000*1000 (матовое б/цв),"25 924,59",47%,5%,11%,63%
2200*700 (матовое б/цв),"22 622,11",47%,5%,11%,63%
2200*800 (матовое б/цв),"24 147,35",47%,5%,11%,63%
2200*900 (матовое б/цв),"25 771,59",47%,5%,11%,63%
2200*1000 (матовое б/цв),"27 154,75",47%,5%,11%,63%
2400*700 (матовое б/цв),"24 320,59",47%,5%,11%,63%
2400*800 (матовое б/цв),"25 987,91",47%,5%,11%,63%
2400*900 (матовое б/цв),"27 712,15",47%,5%,11%,63%
2400*1000 (матовое б/цв),"29 137,39",47%,5%,11%,63%
2000*700 (тонированное),"22 034,03",47%,5%,11%,63%
2000*800(тонированное),"23 459,27",47%,5%,11%,63%
2000*900 (тонированное),"25 042,43",47%,5%,11%,63%
2000*1000 (тонированное),"26 324,59",47%,5%,11%,63%
2200*700 (тонированное),"23 022,11",47%,5%,11%,63%
2200*800 (тонированное),"24 547,35",47%,5%,11%,63%
2200*900 (тонированное),"26 271,59",47%,5%,11%,63%
2200*1000 (тонированное),"27 654,75",47%,5%,11%,63%
2400*700 (тонированное),"24 720,59",47%,5%,11%,63%
2400*800 (тонированное),"26 387,91",47%,5%,11%,63%
2400*900 (тонированное),"28 212,15",47%,5%,11%,63%
2400*1000 (тонированное),"29 737,39",47%,5%,11%,63%
В ПРОДАЖЕ (реечные),,,,,
2000*685 (вертикальные рейки),"28 984,35",47%,5%,11%,63%
2000*820 (вертикальные рейки,"31 994,75",47%,5%,11%,63%
2000*910 (вертикальные рейки),"34 663,07",47%,5%,11%,63%
2000*1000 (вертикальные рейки),"36 889,31",47%,5%,11%,63%
2200*685 (вертикальные рейки),"31 394,75",47%,5%,11%,63%
2200*820 (вертикальные рейки,"34 320,99",47%,5%,11%,63%
2200*910 (вертикальные рейки),"37 231,39",47%,5%,11%,63%
2200*1000 (вертикальные рейки),"30 125,79",47%,5%,11%,63%
2400*685 (вертикальные рейки),"35 347,23",47%,5%,11%,63%
2400*820 (вертикальные рейки,"40 041,79",47%,5%,11%,63%
2400*910 (вертикальные рейки),"43 152,19",47%,5%,11%,63%
2400*1000 (вертикальные рейки),"46 062,59",47%,5%,11%,63%
1990*700 (горизонтальные рейки),"28 684,35",47%,5%,11%,63%
1990*800 (горизонтальные рейки,"31 694,75",47%,5%,11%,63%
1990*900 (горизонтальные рейки),"34 263,07",47%,5%,11%,63%
1990*1000 (горизонтальные рейки),"36 589,31",47%,5%,11%,63%
2170*700 (горизонтальные рейки),"31 194,75",47%,5%,11%,63%
2170*800 (горизонтальные рейки,"34 020,99",47%,5%,11%,63%
2170*900 (горизонтальные рейки),"36 931,39",47%,5%,11%,63%
2170*1000 (горизонтальные рейки),"39 641,79",47%,5%,11%,63%
