Модель,С\С общая,"Комиссия МП, %","Логистика МП, %","Реклама МП, %","Итого,
% OZON"
BAAKIS б\цв стекло 180,"11 975,00",,,,#VALUE!
BAAKIS б\цв стекло 200,"12 475,00",,,,#VALUE!
BAAKIS осв стекло 160,"13 725,00",,,,#VALUE!
BAAKIS осв стекло 180,"14 475,00",,,,#VALUE!
BAAKIS осв стекло 200,"14 975,00",,,,#VALUE!
BAAKIS тон стекло 160,"13 725,00",,,,#VALUE!
BAAKIS тон стекло 180,"14 475,00",,,,#VALUE!
BAAKIS тон стекло 200,"14 975,00",,,,#VALUE!
BAAKIS матовое стекло 160,"12 475,00",,,,#VALUE!
BAAKIS матовое стекло 180,"13 225,00",,,,#VALUE!
BAAKIS матовое стекло 200,"13 725,00",,,,#VALUE!
YAKRIS D900,"12 225,00",,,,#VALUE!
YAKRIS D1000,"12 725,00",,,,#VALUE!
YAKRIS D1200,"13 725,00",,,,#VALUE!
AMELIX 2000*900,"9 975,00",,,,#VALUE!
FARFETTO матовое,"0,00",,,,#VALUE!
FARFETTOс ФП,"21 225,00",,,,#VALUE!
,"0,00",,,,
Столики,-,-,-,-,-
FORMEO,"4 134,00",,,,#VALUE!
KNISO,"5 915,00",,,,#VALUE!
EVULO,"6 165,00",,,,#VALUE!
EVEZER  нет чертежа,"7 330,00",,,,#VALUE!
HORSIX Wood,"6 562,00",,,,#VALUE!
HORSIX Metal,"4 894,00",,,,#VALUE!
EVEKIS Metal нет чертежа,"4 987,00",,,,#VALUE!
EVEKIS Wood нет чертежа,"4 937,00",,,,#VALUE!
TRUBIS S Wood 40,"6 991,00",,,,#VALUE!
TRUBIS S Wood 60,"7 857,00",,,,#VALUE!
ZINGEROSO Glass 1020*620,"8 725,00",,,,#VALUE!
SELMUS D400 ,"5 475,00",,,,#VALUE!
SELMUS D400 фотопечать,"6 725,00",,,,#VALUE!
STEELUXE,"0,00",,,,#VALUE!
CRYLOXAR,"0,00",,,,#VALUE!
,"0,00",,,,
Консоли,-,-,-,-,-
DUHORSIX High,"6 209,00",,,,#VALUE!
CUBISSO,"0,00",,,,#VALUE!
ETAZIUM,"0,00",,,,#VALUE!
SAILLIUR ,"0,00",,,,#VALUE!
CANTILUR ,"0,00",,,,#VALUE!
,"0,00",,,,
Стеллажи и полки,-,-,-,-,-
IKSONI,"14 225,00",,,,#VALUE!
LEVELIS,"16 225,00",,,,#VALUE!
AMFERIX,"12 475,00",,,,#VALUE!
ARKONIS,"22 475,00",,,,#VALUE!
TRUBIS стеллаж высокий,"16 225,00",,,,#VALUE!
LATTISUM,"0,00",,,,#VALUE!
ETAZIUM M,"0,00",,,,#VALUE!
DELFALE ,"0,00",,,,#VALUE!
GNUTUM 640 x 340,"4 225,00",,,,#VALUE!
,"0,00",,,,
Тумбы и комоды,-,-,-,-,-
CUBISSO,"0,00",,,,#VALUE!
ETAZIUM TUMBA ,"0,00",,,,#VALUE!
ETAZIUM TUMBA TV ,"0,00",,,,#VALUE!
LATTISO,"9 975,00",,,,#VALUE!
BOSCUR,"12 475,00",,,,#VALUE!
,,,,,
Мягкая мебель,-,-,-,-,-
Банкетка 1000*400*450h,"0,00",,,,#VALUE!
DUHORSIX Banket,"13 269,00",,,,#VALUE!
Стул Rudi white / black (пара 2шт),"17 155,00",,,,#VALUE!
,"0,00",,,,
Комплектующие,-,-,-,-,-
Подстолье Трубис S,"5 991,00",,,,#VALUE!
Подстолье Трубис Clever,"6 841,00",,,,#VALUE!
Подстолье Трубис (консоль),"5 491,00",,,,#VALUE!
Подстолье Трубис Клевер 450*450,"8 491,00",,,,#VALUE!
Подстолье Трубис Овал 800*400,"12 999,00",,,,#VALUE!
Подстолье Трубис XL D500,"9 199,00",,,,#VALUE!
Подстолье Трубис квадрат - R100 400*400,"7 441,00",,,,#VALUE!
Подстолье Трубис прямоуг - R100 792*396,"11 519,00",,,,#VALUE!
,"0,00",,,,
Тестовые расчёты ГГР,,,,,
KSILIUM 200 Керамогранит черный,"55 103,00",,,,#VALUE!
KSILIUM 200 Керамогранит бронза,"57 283,00",,,,#VALUE!
,,,,,
,,,,,
,,,,,10%
"(ГГВ) Розница VALONTI
(столешница \\ подстолье)",С\С общая,-,-,-,Бонус ДИЗ
Зеркала в раме,-,-,-,-,-
BOTEUF нержа Ш,"14 850,00",-,-,-,#VALUE!
BOTEUF нитрид З\Б Ш,"18 750,00",-,-,-,#VALUE!
BOTEUF нитрид чёрный Ш,"21 350,00",-,-,-,#VALUE!
CLARUSO нержа П,"23 170,00",-,-,-,#VALUE!
VOLNUR нержа П,,,,,
VOLNUM нержа П,"18 750,00",-,-,-,#VALUE!
KADRUF нержа Ш,"13 050,00",-,-,-,#VALUE!
VENTANUM 160 нитрид П,"14 350,00",-,-,-,#VALUE!
VENTANUM 200 нитрид П,"19 550,00",-,-,-,#VALUE!
MARKUF 1470*1100*40 нитрид,"18 250,00",-,-,-,#VALUE!
TUNGLUR 2000*800*40 нитрид,"17 470,00",-,-,-,#VALUE!
TUNGLUR 2200*1000*40 нитрид,"20 070,00",-,-,-,#VALUE!
KUMINUS 1800*550*40 нитрид,"14 350,00",-,-,-,#VALUE!
CERMINOS 1800*600*40 нержа,"11 750,00",-,-,-,#VALUE!
CERCHIOS D1000 нитрид,"13 570,00",-,-,-,#VALUE!
CERCHIOS D1200 нитрид,"16 170,00",-,-,-,#VALUE!
CERCHIOS D1500 нитрид,"20 070,00",-,-,-,#VALUE!
ARKULO нержа,"13 570,00",-,-,-,#VALUE!
ARKULO нержа,"17 470,00",-,-,-,#VALUE!
AUGASO,,,,,
Столы,-,-,-,-,-
AGISUM Oval 180 нержа П,"213 050,00",-,-,-,#VALUE!
AGISUM Oval 180 нитрид П,"240 250,00",-,-,-,#VALUE!
AGISUM Oval 200 нержа П,"233 200,00",-,-,-,#VALUE!
AGISUM Oval 200 нитрид П,"264 050,00",-,-,-,#VALUE!
AGISUM 200 нержа П,,,,,
AGISUM 200 нитрид П,,,,,
AGISU 220 нержа П,"242 100,00",-,-,-,#VALUE!
AGISU 220 нитрид П,"274 250,00",-,-,-,#VALUE!
AGISUR 120 нитрид П,"207 050,00",-,-,-,#VALUE!
AGISUR 120 нитрид П,"230 950,00",-,-,-,#VALUE!
TRUBIOS 200 SS нержа П,"259 250,00",-,-,-,#VALUE!
TRUBIOS 200 нитрид П,"292 050,00",-,-,-,#VALUE!
TRUBIOS 200 нитрид П,"323 550,00",-,-,-,#VALUE!
TRUBIOS S D120 нержа П,"104 250,00",-,-,-,#VALUE!
AGISUMUS 200 нержа П,"297 250,00",-,-,-,#VALUE!
CRYSSORA 200 нержа Ш,"279 250,00",-,-,-,#VALUE!
FERMITTO чёрная сталь + 10мм стемалит,"46 050,00",-,-,-,#VALUE!
AREOLUM D1500*750 нержа П,"316 050,00",-,-,-,#VALUE!
ELYSIUS D1600*750 нержа Ш,"262 850,00",-,-,-,#VALUE!
GLAXIS 2000*1000*750 нержа П,"136 200,00",-,-,-,#VALUE!
VANTORIA нержа ,"28 100,00",-,-,-,#VALUE!
AVIOSUM 1600*700*h750 \\ нержа?,"5 500,00",-,-,-,#VALUE!
Журнальные столики,-,-,-,-,-
AXILUR Mini чёрная сталь,"13 070,00",-,-,-,#VALUE!
AXILUR Maxi чёрная сталь,"16 970,00",-,-,-,#VALUE!
AXILUR (пара),"26 070,00",-,-,-,#VALUE!
ALURAX 1000*1000*h450 нержа П стекло + агломерат,"91 460,00",-,-,-,#VALUE!
CELOSIX 1000*1000*h600 (в ГГ?),"8 500,00",-,-,-,#VALUE!
"JADOREX d1000*h450 + d800*h350 нержа П, стекло + стекло","103 000,00",-,-,-,#VALUE!
"JADOREX d1000*h450 + d800*h350 нитрид П, стекло + стекло","152 100,00",-,-,-,#VALUE!
"JADOREX d1000*h450 + d800*h350 нитрид П, стекло + агломерат","184 900,00",-,-,-,#VALUE!
VELARION нержа П стекло + стекло,"64 250,00",-,-,-,#VALUE!
VELARION нитрид П стекло + стекло,"90 750,00",-,-,-,#VALUE!
KRABOS  нержа Ш стекло + агломерат,"117 150,00",-,-,-,#VALUE!
BELAHIS 800*800*h400 + 600*600*h450 нержа П стекло + стекло,"65 950,00",-,-,-,#VALUE!
BELAHIS 800*800*h400 + 600*600*h450 нитрид П стекло + агломерат,"124 950,00",-,-,-,#VALUE!
ESTRELLUM чёрная сталь,"20 635,00",-,-,-,#VALUE!
FIRMISSUM d1000*h450 + 800*600*h350,"22 360,00",-,-,-,#VALUE!
AKILUM d1250*h350 + d900*h450,"27 715,00",-,-,-,#VALUE!
LIVELIX h600/440*440 \\ нержа?,"2 000,00",-,-,-,#VALUE!
Консоли,-,-,-,-,-
SPALUR 1600*350*h900 нержа Ш,"31 850,00",-,-,-,#VALUE!
CRYSSOR 1200*400*h850 чёрная сталь (?),"25 250,00",-,-,-,#VALUE!
FIAMIS чёрная сталь,"0,00",-,-,-,#VALUE!
SPAZIUM нержа П ,"0,00",-,-,-,#VALUE!
ITAFIS нержа П ,"21 550,00",-,-,-,#VALUE!
ITAFISO нержа П ,"25 450,00",-,-,-,#VALUE!
Стеллажи,-,-,-,-,-
CLIPELIS нержа П ,"38 600,00",-,-,-,#VALUE!
ALITUM чёрная сталь,"0,00",-,-,-,#VALUE!
ARANIX нержа П,"51 900,00",-,-,-,#VALUE!
NOLVUM нержа П,"49 000,00",-,-,-,#VALUE!
SPESSUM нержа П,"36 300,00",-,-,-,#VALUE!
HILLFO чёрная сталь,"56 600,00",-,-,-,#VALUE!
LAMIUS нержа П,"60 050,00",-,-,-,#VALUE!
ARMODIUM нержа ,"44 100,00",-,-,-,#VALUE!
PAVILY нитрид,,,,,
"HILLFO h2800, L1800/300 чёрная сталь","25 400,00",-,-,-,#VALUE!
Вешалки,-,-,-,-,-
FORSIX ,"12 400,00",-,-,-,#VALUE!
HORCUR,"14 350,00",-,-,-,#VALUE!
VEIFUR нержа,"0,00",-,-,-,#VALUE!
Перегородки ,-,-,-,-,-
AMAMEL нержа П (перегородка из 2шт),"0,00",-,-,-,#VALUE!
EVELUS нержа Ш (перегородка из 3шт),"0,00",-,-,-,#VALUE!
SEWONA сталь М (перегородка из 4шт),"0,00",-,-,-,#VALUE!
