Модель,SKU,Артикул,Название,Роль
TRUBIS Wood овальный белый,3564841366,GGT-03-3-3-E-16080,GENGLASS Стол кухонный овальный белый TRUBIS,основная
TRUBIS Wood овальный белый,3564831766,GGT-03-3-3-O-20090,GENGLASS Стол кухонный овальный белый TRUBIS 200,объединённая
KONUX раздвижной белый,3734276153,GGT-35-1-3-100-180,Стол кухонный раздвижной KONUX 100(180)х100,основная
KONUX раздвижной белый,3734276157,GGT-35-3-3-100-180,Стол кухонный раздвижной белый KONUX 100(180),объединённая
